05/21/2015 08:48    |CITY OF ASHEVILLE, NC                                                                                 |P      1,,,,,,,,,
davemichelson       |NEXT YEAR / CURRENT YEAR BUDGET ANALYSIS                                                              |bgnyrpts,,,,,,,,,,
PROJECTION:       20161 FY 2015-16 OPERATING BUDGET FUNDS                  FOR PERIOD  1,,,,,,,,,,
,,,,,,,,,,
ACCOUNTS FOR:,,,,2014,2015,2015,2015,2015,2016,PCT
General Fund                      ,,,,ACTUAL,ORIG BUD,REVISED BUD,ACTUAL,PROJECTION, Mngt Team,CHANGE
,,,,,,,,,,
1,Administration Services Dept,,,,,,,,,
11,Governing Body Division,,,,,,,,,
11000011,511003,     ,Compensation - Temp/Seasonal  ,7411.98,145951,145951,7170.62,145951,145081,-0.60%
1100-01-01-011-0000-00000-00000-000-511003-,,,,,,,,,,
,,,,,,,,,,
11000011,512001,     ,FICA Tax Expense              ,480.33,11165,11165,495.06,11165,11099,-0.60%
1100-01-01-011-0000-00000-00000-000-512001-,,,,,,,,,,
,,,,,,,,,,
11000011,512012,     ,Vehicle Allowance             ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512012-,,,,,,,,,,
,,,,,,,,,,
11000011,512014,     ,Group Insurance Expense       ,2946.36,0,0,2418.72,0,50000,0.00%
1100-01-01-011-0000-00000-00000-000-512014-,,,,,,,,,,
,,,,,,,,,,
11000011,512016,     ,Expense Allowance             ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512016-,,,,,,,,,,
,,,,,,,,,,
11000011,512018,     ,Phone Allowance               ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-512018-,,,,,,,,,,
,,,,,,,,,,
11000011,521002,     ,Professional Services         ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521002-,,,,,,,,,,
,,,,,,,,,,
11000011,521008,     ,Services - Copying and Dupl   ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521008-,,,,,,,,,,
,,,,,,,,,,
11000011,521009,     ,Services - Advertising        ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-521009-,,,,,,,,,,
,,,,,,,,,,
11000011,522002,     ,Maint & Repair - Equipment    ,0,0,0,0,0,0,0.00%
1100-01-01-011-0000-00000-00000-000-522002-,,,,,,,,,,
,,,,,,,,,,
11000011,523001,     ,Training                      ,-75,16000,16000,58.28,16000,16000,0.00%
1100-01-01-011-0000-00000-00000-000-523001-,,,,,,,,,,
,,,,,,,,,,
11000011,523002,     ,Dues & Subscriptions          ,0,750,750,0,750,750,0.00%
1100-01-01-011-0000-00000-00000-000-523002-,,,,,,,,,,
,,,,,,,,,,
11000011,524001,     ,Supplies - Other              ,0,0,6000,5995.01,6000,0,-100.00%
