FROM,2013,1,TO,2013,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6500,Mass Transit Fund,,,,,,
,,,,,,,
21,Transportation Department,,,,,,
,,,,,,,
950,Transit Administration Div,,,,,,
,,,,,,,
65000950,Mass Tr Fd - Transit Admin,,,,,,
,,,,,,,
6500-95-21-950-0000-00000-00000-000-435000- Restricted Intergov Fed Grants                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435100- Rstrctd Intrgv Fed Grants Oper                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-435505- Rstrd Intrgov-Fed prtn of MPO                 ,0,0,0,-93393.11,0,93393.11,0.00%
6500-95-21-950-0000-00000-00000-000-435507- Rstrtd Intrgv - FTA Formula                   ,0,0,0,-1721642,0,1721642,0.00%
6500-95-21-950-0000-00000-00000-000-435516- Rstrtd Intrgv - FTA JARC                      ,0,0,0,-109394,0,109394,0.00%
6500-95-21-950-0000-00000-00000-000-435521- Rstrtd Intrgv - FTA New Freedm                ,0,0,0,-1992,0,1992,0.00%
6500-95-21-950-0000-00000-00000-000-436000- Restrictd Intergv State Grants                ,0,0,0,-628411,0,628411,0.00%
6500-95-21-950-0000-00000-00000-000-436505- Rstrd Intrgov-St prtn of MPO                  ,0,0,0,-11673.89,0,11673.89,0.00%
6500-95-21-950-0000-00000-00000-000-437000- Restrictd Intergv County Parti                ,0,0,0,-849.68,0,849.68,0.00%
6500-95-21-950-0000-00000-00000-000-437100- Restrictd Intergv Otr Loc Part                ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-450604- Bus Lease                                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,4317.24,0,-4317.24,0.00%
6500-95-21-950-0000-00000-00000-000-483304- Private Donations - Restricted                ,0,-16200,-16200,-16200,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,152510,0,152510,156564.83,0,-4054.83,102.70%
6500-95-21-950-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,900,0,-900,0.00%
6500-95-21-950-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,0,1056,315.79,0,740.21,29.90%
6500-95-21-950-0000-00000-00000-000-512001- FICA Tax Expense                              ,11668,0,11668,11170.44,0,497.56,95.70%
6500-95-21-950-0000-00000-00000-000-512002- Employer - LGERS                              ,10493,0,10493,10561.17,0,-68.17,100.60%
6500-95-21-950-0000-00000-00000-000-512005- Employer - 401(K)                             ,7626,0,7626,7828.34,0,-202.34,102.70%
6500-95-21-950-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-512014- Group Insurance Expense                       ,27026,0,27026,26104.63,0,921.37,96.60%
6500-95-21-950-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521001- Contracted Services                           ,0,8225,8225,8182.53,0,42.47,99.50%
6500-95-21-950-0000-00000-00000-000-521002- Professional Services                         ,1500,3300,4800,2400,0,2400,50.00%
6500-95-21-950-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-521005- Rental/Lease - Computers                      ,704,0,704,684.6,0,19.42,97.20%
6500-95-21-950-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,3500,-3300,200,33.7,0,166.3,16.90%
6500-95-21-950-0000-00000-00000-000-521009- Services - Advertising                        ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-523001- Training                                      ,4000,-1894,2106,2397.66,0,-291.66,113.80%
6500-95-21-950-0000-00000-00000-000-523002- Dues & Subscriptions                          ,500,469,969,969,0,0,100.00%
6500-95-21-950-0000-00000-00000-000-524001- Supplies - Other                              ,500,-265,235,291.55,0,-56.55,124.10%
6500-95-21-950-0000-00000-00000-000-524009- Services - Postage                            ,200,50,250,179.34,0,70.66,71.70%
6500-95-21-950-0000-00000-00000-000-524101- Materials                                     ,800,9055,9855,969.21,0,8885.79,9.80%
6500-95-21-950-0000-00000-00000-000-525001- Insurance & Bonds                             ,108829,0,108829,108828.97,0,0.03,100.00%
6500-95-21-950-0000-00000-00000-000-527102- Transit Pass Through Grant                    ,553500,-4249,549251,253556,0,295695,46.20%
6500-95-21-950-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,698,698,90847.49,0,-90149.49,      %
6500-95-21-950-0000-00000-00000-000-528005- Bank Fees                                     ,0,0,0,-1291.56,0,1291.56,0.00%
6500-95-21-950-0000-00000-00000-000-528013- Contingencies                                 ,0,678,678,0,0,678,0.00%
6500-95-21-950-0000-00000-00000-000-528301- Emergency Notification System                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528502- Telephone                                     ,800,37,837,2550.98,0,-1713.98,304.80%
6500-95-21-950-0000-00000-00000-000-528503- Long Distance                                 ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-528504- Radio Charges                                 ,11000,0,11000,8488.8,0,2511.2,77.20%
6500-95-21-950-0000-00000-00000-000-528505- Cellular Usage                                ,900,0,900,578.61,0,321.39,64.30%
6500-95-21-950-0000-00000-00000-000-528999- Other Expense                                 ,0,400,400,200,0,200,50.00%
6500-95-21-950-0000-00000-00000-000-571001- Fleet Maintenance Charges                     ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-571004- Motor Pool Charges                            ,0,0,0,0,0,0,0.00%
6500-95-21-950-0000-00000-00000-000-573001- Information Technology Charges                ,1228,-1228,0,0,0,0,0.00%
