FROM,2010,1,TO,2010,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6220,Street Cut Utility Fund,,,,,,
,,,,,,,
31,Public Works Department,,,,,,
,,,,,,,
314,Street Cuts Division,,,,,,
,,,,,,,
62200314,Street Cut Fd - Street Cut Div,,,,,,
,,,,,,,
6220-20-31-314-0000-00000-00000-000-435997- Fed Revenue Distribut - FEMA                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-436997- State Revenue Distri - FEMA                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450000- Sales and Services                            ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450002- Sales & Serv - Street Patches                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450003- Sales & Serv - Cap Recov Fee                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450004- Sales & Services - Permit Fees                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450006- Sales & Serv - Degredation Fee                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-450008- Sales & Serv - Overlay Fees                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-460000- Income from Investments                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-482482- Fines & Fees Interest - Late C                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492000- Installment Purch Proceed                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-492001- Installment Purch Premiums                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511003- Compensation - Temp/Seasonal                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511004- Compensation - Overtime                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511008- Compensation - Stand By Pay                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-511997- Contra Salaries and Wages FEMA                ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512001- FICA Tax Expense                              ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512002- Employer - LGERS                              ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512005- Employer - 401(K)                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512010- Workers Compensation                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512012- Vehicle Allowance                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512014- Group Insurance Expense                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521001- Contracted Services                           ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521004- Rental/Lease                                  ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-521009- Services - Advertising                        ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-522997- Maint & Repairs - FEMA                        ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-523001- Training                                      ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-523002- Dues & Subscriptions                          ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524001- Supplies - Other                              ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524004- Supplies - Books/Audio Visual                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524005- Supplies - Uniforms                           ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524101- Materials                                     ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-524997- Contra Non-Labor - FEMA                       ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-525001- Insurance & Bonds                             ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528001- Licenses Taxes & Fees                         ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528013- Contingencies                                 ,0,0,0,0,0,0,0.00%
6220-20-31-314-0000-00000-00000-000-528102- Tipping Fees                                  ,0,0,0,0,0,0,0.00%
