FROM,2010,1,TO,2010,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6260,Civic Center Fund,,,,,,
,,,,,,,
90,Civic Center Department,,,,,,
,,,,,,,
900,Civic Center Administration,,,,,,
,,,,,,,
62600900,Civ Ctr Fd - Civic Center Admi,,,,,,
,,,,,,,
6260-90-90-900-0000-00000-00000-000-450037- Civic Center Advertising                      ,-10000,0,-10000,0,0,-10000,0.00%
6260-90-90-900-0000-00000-00000-000-450304- Rents - Park Shelters                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450306- Rents - Equipment Rental                      ,-121000,0,-121000,-91297.59,0,-29702.41,75.50%
6260-90-90-900-0000-00000-00000-000-450307- Rents - Buildings & Arena                     ,-210000,0,-210000,-183454.03,0,-26545.97,87.40%
6260-90-90-900-0000-00000-00000-000-450308- Rents - Auditorium                            ,-142000,0,-142000,-120781.58,0,-21218.42,85.10%
6260-90-90-900-0000-00000-00000-000-450309- Rents - Exhibit Space                         ,-48750,0,-48750,-30675,0,-18075,62.90%
6260-90-90-900-0000-00000-00000-000-450310- Rents - Meeting Room                          ,-9000,0,-9000,-3750,0,-5250,41.70%
6260-90-90-900-0000-00000-00000-000-450313- Rents - Facility Fees                         ,-170000,0,-170000,-119719.98,0,-50280.02,70.40%
6260-90-90-900-0000-00000-00000-000-450318- Rents - Nontaxable Equipment                  ,0,0,0,-11550,0,11550,0.00%
6260-90-90-900-0000-00000-00000-000-450320- Rent - Avl Symphony                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450351- Skate Admission                               ,0,0,0,-2336.49,0,2336.49,0.00%
6260-90-90-900-0000-00000-00000-000-450519- ATM - Fee                                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450602- Advertising Revenue                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-460000- Income from Investments                       ,-70000,0,-70000,-14164.39,0,-55835.61,20.20%
6260-90-90-900-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-488003- 2% Capital Maint Fee                          ,-70900,0,-70900,-68716.04,0,-2183.96,96.90%
6260-90-90-900-0000-00000-00000-000-488014- Energy Efficiency Rebate                      ,0,0,0,-6443.74,0,6443.74,0.00%
6260-90-90-900-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,-3500,0,-3500,-14414.39,0,10914.39,411.80%
6260-90-90-900-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-60626,-60626,0,0,-60626,0.00%
6260-90-90-900-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,185766,0,185766,139970.43,0,45795.57,75.30%
6260-90-90-900-0000-00000-00000-000-511002- Compensation - Part Time                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-511004- Compensation - Overtime                       ,1053,0,1053,169.68,0,883.32,16.10%
6260-90-90-900-0000-00000-00000-000-511010- Quality of Serv Award                         ,1053,0,1053,873.97,0,179.03,83.00%
6260-90-90-900-0000-00000-00000-000-512001- FICA Tax Expense                              ,14065,0,14065,9476.39,0,4588.61,67.40%
6260-90-90-900-0000-00000-00000-000-512002- Employer - LGERS                              ,9018,0,9018,6218.9,0,2799.1,69.00%
6260-90-90-900-0000-00000-00000-000-512005- Employer - 401(K)                             ,9394,0,9394,6497.18,0,2896.82,69.20%
6260-90-90-900-0000-00000-00000-000-512010- Workers Compensation                          ,36344,0,36344,36344,0,0,100.00%
6260-90-90-900-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-512012- Vehicle Allowance                             ,2400,0,2400,1474.26,0,925.74,61.40%
6260-90-90-900-0000-00000-00000-000-512014- Group Insurance Expense                       ,20155,0,20155,20155,0,0,100.00%
6260-90-90-900-0000-00000-00000-000-512020- Fringe Ben - Housing Allowance                ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-521001- Contracted Services                           ,177375,0,177375,141383.49,17204.39,18787.12,89.40%
6260-90-90-900-0000-00000-00000-000-521002- Professional Services                         ,0,17522,17522,1142.66,10677.22,5702.12,67.50%
6260-90-90-900-0000-00000-00000-000-521004- Rental/Lease                                  ,11625,11508,23133,17897.25,0,5235.75,77.40%
6260-90-90-900-0000-00000-00000-000-521006- Services - Janitorial                         ,20000,9315,29315,18870.93,256.65,10187.42,65.20%
6260-90-90-900-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,500,0,500,278,0,222,55.60%
6260-90-90-900-0000-00000-00000-000-521009- Services - Advertising                        ,4240,0,4240,1961.69,0,2278.31,46.30%
6260-90-90-900-0000-00000-00000-000-522001- Maintenance and Repairs                       ,5000,50,5050,3708.32,0,1341.68,73.40%
6260-90-90-900-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,19250,371,19621,17762.2,2030.23,-171.43,100.90%
6260-90-90-900-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,19250,2174,21424,10853.07,281.2,10289.73,52.00%
