FROM,2013,1,TO,2013,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6260,Civic Center Fund,,,,,,
,,,,,,,
90,Civic Center Department,,,,,,
,,,,,,,
900,Civic Center Administration,,,,,,
,,,,,,,
62600900,Civ Ctr Fd - Civic Center Admi,,,,,,
,,,,,,,
6260-90-90-900-0000-00000-00000-000-450037- Civic Center Advertising                      ,0,0,0,3,0,-3,0.00%
6260-90-90-900-0000-00000-00000-000-450304- Rents - Park Shelters                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450306- Rents - Equipment Rental                      ,-75000,0,-75000,-41939.08,0,-33060.92,55.90%
6260-90-90-900-0000-00000-00000-000-450307- Rents - Buildings & Arena                     ,-190000,0,-190000,-173800,0,-16200,91.50%
6260-90-90-900-0000-00000-00000-000-450308- Rents - Auditorium                            ,-130000,0,-130000,-127570.58,0,-2429.42,98.10%
6260-90-90-900-0000-00000-00000-000-450309- Rents - Exhibit Space                         ,-39860,0,-39860,-29000,0,-10860,72.80%
6260-90-90-900-0000-00000-00000-000-450310- Rents - Meeting Room                          ,0,0,0,-10000,0,10000,0.00%
6260-90-90-900-0000-00000-00000-000-450313- Rents - Facility Fees                         ,-140000,0,-140000,-216248,0,76248,154.50%
6260-90-90-900-0000-00000-00000-000-450318- Rents - Nontaxable Equipment                  ,-50000,0,-50000,-49150,0,-850,98.30%
6260-90-90-900-0000-00000-00000-000-450320- Rent - Avl Symphony                           ,0,0,0,-19800,0,19800,0.00%
6260-90-90-900-0000-00000-00000-000-450351- Skate Admission                               ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450519- ATM - Fee                                     ,0,0,0,-2202,0,2202,0.00%
6260-90-90-900-0000-00000-00000-000-450602- Advertising Revenue                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-460000- Income from Investments                       ,-5000,0,-5000,-1857,0,-3143,37.10%
6260-90-90-900-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-488003- 2% Capital Maint Fee                          ,-90000,0,-90000,-74909.53,0,-15090.47,83.20%
6260-90-90-900-0000-00000-00000-000-488014- Energy Efficiency Rebate                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,-3500,0,-3500,-54480.72,0,50980.72,      %
6260-90-90-900-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-22178,-22178,0,0,-22178.09,0.00%
6260-90-90-900-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,144148,35902,180050,180347.88,0,-297.88,100.20%
6260-90-90-900-0000-00000-00000-000-511002- Compensation - Part Time                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-511004- Compensation - Overtime                       ,1067,-967,100,0,0,100,0.00%
6260-90-90-900-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,1217,2273,2272.08,0,0.92,100.00%
6260-90-90-900-0000-00000-00000-000-512001- FICA Tax Expense                              ,10454,4085,14539,13508.76,0,1030.24,92.90%
6260-90-90-900-0000-00000-00000-000-512002- Employer - LGERS                              ,9648,3161,12809,12080.17,0,728.83,94.30%
6260-90-90-900-0000-00000-00000-000-512005- Employer - 401(K)                             ,7011,2492,9503,8839.74,0,663.26,93.00%
6260-90-90-900-0000-00000-00000-000-512010- Workers Compensation                          ,36808,0,36808,36807.97,0,0.03,100.00%
6260-90-90-900-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-512012- Vehicle Allowance                             ,1200,0,1200,1206.62,0,-6.62,100.60%
6260-90-90-900-0000-00000-00000-000-512014- Group Insurance Expense                       ,25962,0,25962,21894.78,0,4067.22,84.30%
6260-90-90-900-0000-00000-00000-000-512020- Fringe Ben - Housing Allowance                ,0,1275,1275,1296,0,-21,101.60%
6260-90-90-900-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-521001- Contracted Services                           ,170000,11813,181813,156581.58,0,25231.8,86.10%
6260-90-90-900-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-521004- Rental/Lease                                  ,11625,-1979,9646,3617.74,0,6028.26,37.50%
6260-90-90-900-0000-00000-00000-000-521006- Services - Janitorial                         ,30000,17265,47265,42824.79,0,4440.28,90.60%
6260-90-90-900-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,500,500,1000,938.19,0,61.81,93.80%
6260-90-90-900-0000-00000-00000-000-521009- Services - Advertising                        ,4240,-3640,600,850,0,-250,141.70%
6260-90-90-900-0000-00000-00000-000-522001- Maintenance and Repairs                       ,5000,16950,21950,20216.62,0,1733.38,92.10%
6260-90-90-900-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,19250,-800,18450,16679.19,0,1770.81,90.40%
6260-90-90-900-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,19250,-14650,4600,3999.52,0,600.48,86.90%
6260-90-90-900-0000-00000-00000-000-522004- Maint & Repair - Lawn                         ,1500,0,1500,300,0,1200,20.00%
6260-90-90-900-0000-00000-00000-000-523001- Training                                      ,26500,-20000,6500,6095.83,0,404.17,93.80%
6260-90-90-900-0000-00000-00000-000-523002- Dues & Subscriptions                          ,1500,1281,2781,2780.94,0,0.06,100.00%
6260-90-90-900-0000-00000-00000-000-524001- Supplies - Other                              ,9000,2679,11679,9584.97,0,2094.03,82.10%
6260-90-90-900-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,1000,-800,200,141.96,0,58.04,71.00%
6260-90-90-900-0000-00000-00000-000-524005- Supplies - Uniforms                           ,1000,1984,2984,2983.82,0,0.18,100.00%
6260-90-90-900-0000-00000-00000-000-524009- Services - Postage                            ,2000,-1000,1000,218.8,0,781.2,21.90%
