FROM,2012,1,TO,2012,13,,
,ORIGINAL,TRANFRS,REVISED,,,AVAILABLE,PCT
,APPROP,ADJSTMTS,BUDGET,ACTUALS,ENCUMBRANCES,BUDGET,USED
,,,,,,,
6260,Civic Center Fund,,,,,,
,,,,,,,
90,Civic Center Department,,,,,,
,,,,,,,
900,Civic Center Administration,,,,,,
,,,,,,,
62600900,Civ Ctr Fd - Civic Center Admi,,,,,,
,,,,,,,
6260-90-90-900-0000-00000-00000-000-450037- Civic Center Advertising                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450304- Rents - Park Shelters                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450306- Rents - Equipment Rental                      ,-100000,0,-100000,-33262.75,0,-66737.25,33.30%
6260-90-90-900-0000-00000-00000-000-450307- Rents - Buildings & Arena                     ,-190000,0,-190000,-112150,0,-77850,59.00%
6260-90-90-900-0000-00000-00000-000-450308- Rents - Auditorium                            ,-130000,0,-130000,-125859.94,0,-4140.06,96.80%
6260-90-90-900-0000-00000-00000-000-450309- Rents - Exhibit Space                         ,-39860,0,-39860,-20750,0,-19110,52.10%
6260-90-90-900-0000-00000-00000-000-450310- Rents - Meeting Room                          ,0,0,0,-4250,0,4250,0.00%
6260-90-90-900-0000-00000-00000-000-450313- Rents - Facility Fees                         ,-140000,0,-140000,-172841.5,0,32841.5,123.50%
6260-90-90-900-0000-00000-00000-000-450318- Rents - Nontaxable Equipment                  ,-20000,0,-20000,-48290.5,0,28290.5,241.50%
6260-90-90-900-0000-00000-00000-000-450320- Rent - Avl Symphony                           ,0,0,0,-18150,0,18150,0.00%
6260-90-90-900-0000-00000-00000-000-450351- Skate Admission                               ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450519- ATM - Fee                                     ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-450602- Advertising Revenue                           ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-460000- Income from Investments                       ,-20000,0,-20000,-1240,0,-18760,6.20%
6260-90-90-900-0000-00000-00000-000-486000- Sale of Capital Assets                        ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-488003- 2% Capital Maint Fee                          ,-70900,0,-70900,-79163.06,0,8263.06,111.70%
6260-90-90-900-0000-00000-00000-000-488014- Energy Efficiency Rebate                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-489000- Other Miscellaneous Revenue                   ,-3500,0,-3500,-31384.99,0,27884.99,896.70%
6260-90-90-900-0000-00000-00000-000-499100- Appropriated Fund Balance                     ,0,-439982,-439982,0,0,-439982,0.00%
6260-90-90-900-0000-00000-00000-000-499101- Approp Fund Bal Res for Enc                   ,0,-54090,-54090,0,0,-54089.92,0.00%
6260-90-90-900-0000-00000-00000-000-511001- Compensation - Full Time Reg                  ,142721,17279,160000,159371.93,0,628.07,99.60%
6260-90-90-900-0000-00000-00000-000-511002- Compensation - Part Time                      ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-511004- Compensation - Overtime                       ,1056,0,1056,0,0,1056,0.00%
6260-90-90-900-0000-00000-00000-000-511010- Quality of Serv Award                         ,1056,0,1056,422.52,0,633.48,40.00%
6260-90-90-900-0000-00000-00000-000-512001- FICA Tax Expense                              ,10350,0,10350,11358.66,0,-1008.66,109.70%
6260-90-90-900-0000-00000-00000-000-512002- Employer - LGERS                              ,9552,0,9552,10993.81,0,-1441.81,115.10%
6260-90-90-900-0000-00000-00000-000-512005- Employer - 401(K)                             ,6942,0,6942,7989.74,0,-1047.74,115.10%
6260-90-90-900-0000-00000-00000-000-512010- Workers Compensation                          ,36444,0,36444,36444,0,0,100.00%
6260-90-90-900-0000-00000-00000-000-512011- Unemployment                                  ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-512012- Vehicle Allowance                             ,1200,0,1200,1204.78,0,-4.78,100.40%
6260-90-90-900-0000-00000-00000-000-512014- Group Insurance Expense                       ,25962,0,25962,25962,0,0,100.00%
6260-90-90-900-0000-00000-00000-000-512020- Fringe Ben - Housing Allowance                ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-512024- OPEB Pension Contributions                    ,0,9294,9294,9293.67,0,0.33,100.00%
6260-90-90-900-0000-00000-00000-000-521001- Contracted Services                           ,170000,154261,324261,253315.64,0,70945.11,78.10%
6260-90-90-900-0000-00000-00000-000-521002- Professional Services                         ,0,0,0,0,0,0,0.00%
6260-90-90-900-0000-00000-00000-000-521004- Rental/Lease                                  ,11625,0,11625,5443.43,0,6181.57,46.80%
6260-90-90-900-0000-00000-00000-000-521006- Services - Janitorial                         ,20000,3018,23018,23172.88,0,-155.3,100.70%
6260-90-90-900-0000-00000-00000-000-521008- Services - Copying and Dupl                   ,500,0,500,0,0,500,0.00%
6260-90-90-900-0000-00000-00000-000-521009- Services - Advertising                        ,4240,0,4240,0,0,4240,0.00%
6260-90-90-900-0000-00000-00000-000-522001- Maintenance and Repairs                       ,5000,2000,7000,2226.29,0,4773.71,31.80%
6260-90-90-900-0000-00000-00000-000-522002- Maint & Repair - Equipment                    ,19250,3084,22334,21560.25,0,773.68,96.50%
6260-90-90-900-0000-00000-00000-000-522003- Maint & Repair - Buildings                    ,19250,-2000,17250,16752.4,0,497.6,97.10%
6260-90-90-900-0000-00000-00000-000-522004- Maint & Repair - Lawn                         ,1500,0,1500,1584.11,0,-84.11,105.60%
6260-90-90-900-0000-00000-00000-000-523001- Training                                      ,6500,3000,9500,7810.85,0,1689.15,82.20%
6260-90-90-900-0000-00000-00000-000-523002- Dues & Subscriptions                          ,1500,0,1500,1718.9,0,-218.9,114.60%
6260-90-90-900-0000-00000-00000-000-524001- Supplies - Other                              ,9000,9000,18000,21072.83,0,-3072.83,117.10%
6260-90-90-900-0000-00000-00000-000-524003- Supplies - Safety Equipment                   ,1000,0,1000,447.79,0,552.21,44.80%
6260-90-90-900-0000-00000-00000-000-524005- Supplies - Uniforms                           ,1000,0,1000,387.4,0,612.6,38.70%
