Type,Budget 2015,Function,Department
Expense,2742400,Special Revenue Funds,911 Fund
Revenue,2742400,Special Revenue Funds,911 Fund Revenue
Expense,6063999,Education,A. B. Tech
Expense,1246759,Education,A. B. Tech Debt
Revenue,434000,General Fund,ABC Bottle Tax
Revenue,173578438,General Fund,Ad Valorem Tax
Expense,32466,Administration,Administration OPEB
Expense,570766,Human Services,Aging Services/HCCBG
Expense,956432,Public Safety,Animal Services
Expense,1579413,Education,Asheville City Schools Capital Outlay
Revenue,1579413,Education,Asheville City Schools Capital Outlay Revenue
Expense,8997929,Education,Asheville City Schools Current Expense
Revenue,488716,General Fund,BAB Subsidy Payments
Expense,226055,Special Revenue Funds,BCAT Federal Forfeitures
Revenue,226055,Special Revenue Funds,BCAT Federal Forfeitures Revenue
Expense,201366,Special Revenue Funds,BCAT State Forfeitures
Revenue,201366,Special Revenue Funds,BCAT State Forfeitures Revenue
Expense,9365929,Education,Buncombe County Schools Capital Outlay
Revenue,9365929,Education,Buncombe County Schools Capital Outlay - Revenue
Expense,276116,Education,Buncombe County Schools Community School
Expense,51390856,Education,Buncombe County Schools Current Expense
Expense,1371705,Public Safety,CCBI
Revenue,822155,Public Safety,CCBI Revenue
Expense,178890,Public Safety,Clerk of Court/Probation
Expense,207000,Physical Development,Community Funding
Expense,1140250,Human Services,Community Funding
Expense,1243378,"Community, Economic, & Cultural Development",Community Funding
Expense,3202694,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt"
Revenue,1240351,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt - Revenue"
Expense,49087,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev OPEB"
Expense,457666,"Community, Economic, & Cultural Development",Cooperative Extension
Revenue,4900,"Community, Economic, & Cultural Development",Cooperative Extension Revenue
Expense,1057912,Administration,County Manager
Expense,1496173,Public Safety,Criminal Justice Information Systems
Revenue,1363192,Public Safety,Criminal Justice Information Systems Revenue
Expense,22681773,Miscellaneous,Debt Proceeds/Refunding Payments to Escrow
Revenue,22681773,Miscellaneous,Debt Proceeds/Refunding Payments to Escrow Revenue
Expense,3911588,"Community, Economic, & Cultural Development",Economic Development
Revenue,382000,"Community, Economic, & Cultural Development",Economic Development Revenue
Expense,1404866,General Government,Elections
Revenue,1600,General Government,Elections Revenue
Expense,10795667,Public Safety,Emergency Medical Services
Revenue,6335044,Public Safety,Emergency Medical Services Revenue
Expense,23389536,Special Revenue Funds,Fire Service Districts
Revenue,23389536,Special Revenue Funds,Fire Service Districts Revenue
Revenue,9968401,General Fund,Fund Balance Appropriation
Expense,1751836,General Government,General Government Debt
Expense,103951,General Government,General Government OPEB
Expense,7992182,Public Safety,General Services
Revenue,1177266,Public Safety,General Services Revenue
Expense,1062610,Administration,Governing Body/Public Relations
Revenue,65520,Administration,Governing Body/Public Relations Revenue
Expense,299250,Physical Development,Housing Trust
Expense,2690105,Human Services,Human Services Debt
Expense,1128367,Human Services,Human Services OPEB
Revenue,428589,General Fund,Indirect Costs
Expense,560769,Enterprise Funds,Inmate Commissary
Revenue,560769,Enterprise Funds,Inmate Commissary Revenue
Expense,27638707,Internal Service Fund,Insurance Fund
Revenue,27638707,Internal Service Fund,Insurance Fund Revenue
Revenue,7831552,General Fund,Interfund Transfers
Revenue,177000,General Fund,Intergovernmental
Revenue,183750,General Fund,Investment Earnings
Expense,153643,Public Safety,Justice Resource Center
Revenue,153643,Public Safety,Justice Resource Center Revenue
Expense,175000,Public Safety,Juvenile Detention Service
Expense,5612831,"Community, Economic, & Cultural Development",Library
Revenue,527543,"Community, Economic, & Cultural Development",Library Revenue
Expense,415223,"Community, Economic, & Cultural Development",LRCD Administration
Expense,238000,Public Safety,Medical Examiner
Expense,1051000,Human Services,Mental Health
Expense,10408699,Special Revenue Funds,Occupancy Tax
Revenue,10408699,Special Revenue Funds,Occupancy Tax Revenue
Expense,185349,Public Safety,Other Public Safety
Expense,324183,Public Safety,Parking Services
Revenue,260000,Public Safety,Parking Services Revenue
Expense,2166215,"Community, Economic, & Cultural Development","Parks, Greenways, & Recreation"
Revenue,303400,"Community, Economic, & Cultural Development","Parks, Greenways, & Recreation Revenue"
Expense,1843810,Public Safety,Permits & Inspections
Revenue,1348430,Public Safety,Permits & Inspections Revenue
Expense,69372,Physical Development,Physical Development OPEB
Expense,3065146,Physical Development,Planning
Revenue,143000,Physical Development,Planning Revenue
Expense,719163,Public Safety,Pre-Trial Release
Expense,15019572,Human Services,Public Health
Revenue,5763161,Human Services,Public Health Revenue
Expense,11986315,Public Safety,Public Safety Debt
Expense,1172630,Public Safety,Public Safety OPEB
Expense,553465,Public Safety,Public Safety Training Center
Revenue,553465,Public Safety,Public Safety Training Center Revenue
Expense,276743,Education,Public School Debt
Expense,404777,Physical Development,Recycling
Revenue,71000,Physical Development,Recycling Revenue
Expense,3409841,General Government,Register of Deeds
Expense,270848,Special Revenue Funds,Register of Deeds Automation Fund
Revenue,270848,Special Revenue Funds,Register of Deeds Automation Fund Revenue
Revenue,4805519,General Government,Register of Deeds Revenue
Revenue,480000,General Fund,Rental Car and Heavy Equipment Receipts
Revenue,645000,General Fund,Rental Income
Revenue,23014968,General Fund,Sales Tax
Expense,157305,Special Revenue Funds,Sheriff Federal Forfeitures
Revenue,157305,Special Revenue Funds,Sheriff Federal Forfeitures Revenue
Expense,26376,Special Revenue Funds,Sheriff State Forfeitures
Revenue,26376,Special Revenue Funds,Sheriff State Forfeitures Revenue
Expense,32630276,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff)"
Revenue,3255558,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff) Revenue"
Expense,71871583,Human Services,Social Services
Revenue,39080651,Human Services,Social Services Revenue
Expense,443503,Physical Development,Soil Conservation
Revenue,75947,Physical Development,Soil Conservation Revenue
Expense,7249287,Enterprise Funds,Solid Waste
Revenue,7249287,Enterprise Funds,Solid Waste Revenue
Expense,155345,Administration,Support Services
Expense,323900,Physical Development,Support Services
Expense,386000,Education,Support Services
Expense,812149,General Government,Support Services
Expense,1230841,"Community, Economic, & Cultural Development",Support Services
Expense,5250808,Public Safety,Support Services
Expense,6945051,Human Services,Support Services
Revenue,1955,Administration,Support Services Revenue
Revenue,4075,Physical Development,Support Services Revenue
Revenue,10219,General Government,Support Services Revenue
Revenue,15487,"Community, Economic, & Cultural Development",Support Services Revenue
Revenue,66067,Public Safety,Support Services Revenue
Revenue,87385,Human Services,Support Services Revenue
Expense,4585383,General Government,Tax
Revenue,922400,General Government,Tax Revenue
Expense,1345344,Transfers,Transfer - Capital Projects
Expense,1626448,Human Services,Transfer - Mountain Mobility
Expense,4196335,Special Revenue Funds,Transportation
Revenue,4196335,Special Revenue Funds,Transportation Revenue
Expense,207508,Human Services,Valley Child Care
Expense,440347,Human Services,Veterans Services
Revenue,1497,Human Services,Veterans Services Revenue
Revenue,1525000,General Fund,Video Programming Services Tax
Revenue,579421,General Fund,Wine and Beer Tax
Expense,508064,Human Services,Youth Services
Revenue,508064,Human Services,Youth Services Revenue
