Type,Budget 2016,Function,Department
Expense,2102500,Special Revenue Funds,911 Fund
Revenue,2102500,Special Revenue Funds,911 Fund Revenue
Expense,6063999,Education,A. B. Tech
Expense,1037513,Education,A. B. Tech Debt
Revenue,434000,General Fund,ABC Bottle Tax
Revenue,175598725,General Fund,Ad Valorem Tax
Expense,23947,Administration,Administration OPEB
Expense,570766,Human Services,Aging Services/HCCBG
Expense,1158792,Public Safety,Animal Services
Expense,1731193,Education,Asheville City Schools Capital Outlay
Revenue,1731193,Education,Asheville City Schools Capital Outlay Revenue
Expense,9330722,Education,Asheville City Schools Current Expense
Revenue,5215,Education,Asheville City Schools Current Expense - Revenue
Expense,4569060,Education,Asheville City Schools Transfer to SCCF
Revenue,398351,General Fund,BAB Subsidy Payments
Expense,226055,Special Revenue Funds,BCAT Federal Forfeitures
Revenue,226055,Special Revenue Funds,BCAT Federal Forfeitures Revenue
Expense,196100,Special Revenue Funds,BCAT State Forfeitures
Revenue,196100,Special Revenue Funds,BCAT State Forfeitures Revenue
Expense,9787058,Education,Buncombe County Schools Capital Outlay
Revenue,9787058,Education,Buncombe County Schools Capital Outlay - Revenue
Expense,276116,Education,Buncombe County Schools Community School
Expense,53291571,Education,Buncombe County Schools Current Expense
Revenue,29785,Education,Buncombe County Schools Current Expense - Revenue
Expense,1424319,Public Safety,CCBI
Revenue,843732,Public Safety,CCBI Revenue
Expense,182254,Public Safety,Clerk of Court/Probation
Expense,207500,Physical Development,Community Funding
Expense,1083275,"Community, Economic, & Cultural Development",Community Funding
Expense,1287000,Human Services,Community Funding
Expense,3424296,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt"
Revenue,1240351,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev Debt - Revenue"
Expense,57946,"Community, Economic, & Cultural Development","Community, Economic, & Cultural  Dev OPEB"
Expense,409629,"Community, Economic, & Cultural Development",Cooperative Extension
Revenue,4400,"Community, Economic, & Cultural Development",Cooperative Extension Revenue
Expense,1062882,Administration,County Manager
Expense,1490805,Public Safety,Criminal Justice Information Systems
Revenue,752162,Public Safety,Criminal Justice Information Systems Revenue
Expense,5271585,"Community, Economic, & Cultural Development",Economic Development
Revenue,335000,"Community, Economic, & Cultural Development",Economic Development Revenue
Expense,2093714,General Government,Elections
Revenue,307500,General Government,Elections Revenue
Expense,10747654,Public Safety,Emergency Medical Services
Revenue,6335044,Public Safety,Emergency Medical Services Revenue
Expense,24217091,Special Revenue Funds,Fire Service Districts
Revenue,24217091,Special Revenue Funds,Fire Service Districts Revenue
Revenue,9643213,General Fund,Fund Balance Appropriation
Expense,1288979,General Government,General Government Debt
Expense,76673,General Government,General Government OPEB
Expense,8239992,Public Safety,General Services
Revenue,1087266,Public Safety,General Services Revenue
Expense,908014,Administration,Governing Body/Public Relations
Revenue,65520,Administration,Governing Body/Public Relations Revenue
Expense,299250,Physical Development,Housing Trust
Expense,2008260,Human Services,Human Services Debt
Expense,766730,Human Services,Human Services OPEB
Revenue,517249,General Fund,Indirect Costs
Expense,437515,Enterprise Funds,Inmate Commissary
Revenue,437515,Enterprise Funds,Inmate Commissary Revenue
Expense,29788289,Internal Service Fund,Insurance Fund
Revenue,29788289,Internal Service Fund,Insurance Fund Revenue
Revenue,10324424,General Fund,Interfund Transfers
Revenue,142000,General Fund,Intergovernmental
Revenue,200000,General Fund,Investment Earnings
Expense,175000,Public Safety,Juvenile Detention Service
Expense,5124917,"Community, Economic, & Cultural Development",Library
Revenue,459293,"Community, Economic, & Cultural Development",Library Revenue
Expense,238000,Public Safety,Medical Examiner
Expense,1051000,Human Services,Mental Health
Expense,11970004,Special Revenue Funds,Occupancy Tax
Revenue,11970004,Special Revenue Funds,Occupancy Tax Revenue
Expense,77055,Public Safety,Other Public Safety
Expense,11400,Public Safety,Parking Services
Revenue,54232,Public Safety,Parking Services Revenue
Expense,1874653,"Community, Economic, & Cultural Development","Parks, Greenways, & Recreation"
Revenue,131280,"Community, Economic, & Cultural Development","Parks, Greenways, & Recreation Revenue"
Expense,2058712,Public Safety,Permits & Inspections
Revenue,1917753,Public Safety,Permits & Inspections Revenue
Expense,35236,Physical Development,Physical Development OPEB
Expense,2691179,Physical Development,Planning
Revenue,291200,Physical Development,Planning Revenue
Expense,794826,Public Safety,Pre-Trial Release
Expense,15466912,Human Services,Public Health
Revenue,5506385,Human Services,Public Health Revenue
Expense,12265153,Public Safety,Public Safety Debt
Expense,630806,Public Safety,Public Safety OPEB
Expense,815255,Public Safety,Public Safety Training Center
Revenue,815255,Public Safety,Public Safety Training Center Revenue
Expense,3292996,General Government,Register of Deeds
Expense,216230,Special Revenue Funds,Register of Deeds Automation Fund
Revenue,216230,Special Revenue Funds,Register of Deeds Automation Fund Revenue
Revenue,4731855,General Government,Register of Deeds Revenue
Revenue,480000,General Fund,Rental Car and Heavy Equipment Receipts
Revenue,645000,General Fund,Rental Income
Revenue,25831733,General Fund,Sales Tax
Expense,39073,Special Revenue Funds,Sheriff Federal Forfeitures
Revenue,39073,Special Revenue Funds,Sheriff Federal Forfeitures Revenue
Expense,25175,Special Revenue Funds,Sheriff State Forfeitures
Revenue,25175,Special Revenue Funds,Sheriff State Forfeitures Revenue
Expense,33432897,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff)"
Revenue,3174342,Public Safety,"Sheriff's Office (P/I, Detention, Sheriff) Revenue"
Expense,74595194,Human Services,Social Services
Revenue,41235171,Human Services,Social Services Revenue
Expense,415999,Physical Development,Soil Conservation
Revenue,54760,Physical Development,Soil Conservation Revenue
Expense,6547287,Enterprise Funds,Solid Waste
Revenue,6547287,Enterprise Funds,Solid Waste Revenue
Expense,145364,Administration,Support Services
Expense,265915,Physical Development,Support Services
Expense,392176,Education,Support Services
Expense,827380,General Government,Support Services
Expense,1256738,"Community, Economic, & Cultural Development",Support Services
Expense,5390093,Public Safety,Support Services
Expense,7141426,Human Services,Support Services
Revenue,2041,Administration,Support Services Revenue
Revenue,3734,Physical Development,Support Services Revenue
Revenue,11619,General Government,Support Services Revenue
Revenue,17649,"Community, Economic, & Cultural Development",Support Services Revenue
Revenue,75694,Public Safety,Support Services Revenue
Revenue,100288,Human Services,Support Services Revenue
Expense,4601826,General Government,Tax
Revenue,896400,General Government,Tax Revenue
Expense,635000,Transfers,Transfer - Capital Projects
Expense,1626448,Human Services,Transfer - Mountain Mobility
Expense,4380250,Special Revenue Funds,Transportation
Revenue,4380250,Special Revenue Funds,Transportation Revenue
Expense,207508,Human Services,Valley Child Care
Expense,422467,Human Services,Veterans Services
Revenue,1497,Human Services,Veterans Services Revenue
Revenue,1500000,General Fund,Video Programming Services Tax
Revenue,637363,General Fund,Wine and Beer Tax
